impl,dim,batch_size,seq_len,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,gpu_util,status
eager,256,16,100,4,4,0.0000,0.3951,0.3951,101.7,5.6,success
eager,512,16,100,4,4,0.0000,0.4139,0.4139,216.3,6.2,success
eager,1024,16,100,4,4,0.0000,0.4325,0.4325,525.7,6.6,success
eager,2048,16,100,4,4,0.0000,0.6310,0.6310,1407.7,18.5,success
eager,128,16,100,6,4,0.0000,0.4462,0.4462,59.5,3.5,success
eager,256,16,100,6,4,0.0000,0.4559,0.4559,114.5,9.3,success
eager,512,16,100,6,4,0.0000,0.4646,0.4646,254.0,7.3,success
eager,1024,16,100,6,4,0.0000,0.4804,0.4804,652.7,12.7,success
eager,2048,16,100,6,4,0.0000,0.6085,0.6085,1849.7,33.6,success
eager,128,16,100,8,4,0.0000,0.4891,0.4891,64.6,8.5,success
eager,256,16,100,8,4,0.0000,0.5080,0.5080,127.1,5.2,success
eager,512,16,100,8,4,0.0000,0.5116,0.5116,293.4,9.6,success
eager,1024,16,100,8,4,0.0000,0.5243,0.5243,780.7,13.1,success
eager,2048,16,100,8,4,0.0000,0.7099,0.7099,2291.8,41.6,success
eager,128,16,100,10,4,0.0000,0.5299,0.5299,69.7,8.1,success
eager,256,16,100,10,4,0.0000,0.5346,0.5346,140.0,11.9,success
eager,512,16,100,10,4,0.0000,0.6621,0.6621,331.9,16.2,success
eager,1024,16,100,10,4,0.0000,0.5992,0.5992,908.8,24.3,success
eager,2048,16,100,10,4,0.0000,0.7950,0.7950,2733.8,50.3,success
eager,128,16,100,12,4,0.0000,0.5957,0.5957,74.8,11.6,success
eager,256,16,100,12,4,0.0000,0.6035,0.6035,152.7,13.7,success
eager,512,16,100,12,4,0.0000,0.6150,0.6150,369.5,18.5,success
eager,1024,16,100,12,4,0.0000,0.6377,0.6377,1035.8,26.7,success
eager,2048,16,100,12,4,0.0000,0.8830,0.8830,3175.8,58.2,success
eager,128,16,200,4,4,0.0000,0.5112,0.5112,60.7,5.7,success
eager,256,16,200,4,4,0.0000,0.5263,0.5263,116.0,13.1,success
eager,512,16,200,4,4,0.0000,0.5247,0.5247,243.8,17.7,success
eager,1024,16,200,4,4,0.0000,0.5658,0.5658,583.5,29.2,success
eager,2048,16,200,4,4,0.0000,0.7967,0.7967,1528.6,47.4,success
eager,128,16,200,6,4,0.0000,0.6394,0.6394,69.0,14.9,success
eager,256,16,200,6,4,0.0000,0.6629,0.6629,134.5,17.0,success
eager,512,16,200,6,4,0.0000,0.6554,0.6554,294.8,20.9,success
eager,1024,16,200,6,4,0.0000,0.6748,0.6748,737.4,34.1,success
eager,2048,16,200,6,4,0.0000,1.0075,1.0075,2024.7,64.0,success
eager,128,16,200,8,4,0.0000,0.7239,0.7239,77.1,18.8,success
eager,256,16,200,8,4,0.0000,0.7653,0.7653,154.0,20.2,success
eager,512,16,200,8,4,0.0000,0.7523,0.7523,345.8,27.4,success
eager,1024,16,200,8,4,0.0000,0.7943,0.7943,891.4,44.6,success
eager,2048,16,200,8,4,0.0000,1.2166,1.2166,2520.7,68.4,success
eager,128,16,200,10,4,0.0000,0.8181,0.8181,85.5,21.0,success
eager,256,16,200,10,4,0.0000,0.8092,0.8092,173.0,24.1,success
eager,512,16,200,10,4,0.0000,0.8611,0.8611,396.8,33.0,success
